sim_time,real_time,truck_id,mode,SOC(%),position(m),velocity(km/h)
118.807,1.76008e+09,truck0,LV,99.9023,0.675088,1.6958
118.907,1.76008e+09,truck0,LV,99.9021,0.679798,1.69946
119.067,1.76008e+09,truck0,LV,99.902,0.684519,1.70304
119.167,1.76008e+09,truck0,LV,99.9019,0.68925,1.70668
119.247,1.76008e+09,truck0,LV,99.9018,0.693991,1.71026
119.327,1.76008e+09,truck0,LV,99.9017,0.698741,1.71444
119.427,1.76008e+09,truck0,LV,99.9016,0.703504,1.71807
119.507,1.76008e+09,truck0,LV,99.9015,0.708276,1.72168
119.687,1.76008e+09,truck0,LV,99.9014,0.713058,1.7254
119.767,1.76008e+09,truck0,LV,99.9013,0.717851,1.72906
119.847,1.76008e+09,truck0,LV,99.9012,0.722654,1.73334
119.947,1.76008e+09,truck0,LV,99.9011,0.727469,1.73698
120.027,1.76008e+09,truck0,LV,99.901,0.732294,1.74059
120.107,1.76008e+09,truck0,LV,99.9009,0.737129,1.74446
120.207,1.76008e+09,truck0,LV,99.9008,0.741975,1.74809
120.367,1.76008e+09,truck0,LV,99.9007,0.74683,1.7517
120.447,1.76008e+09,truck0,LV,99.9006,0.751696,1.75542
120.547,1.76008e+09,truck0,LV,99.9006,0.756572,1.75898
120.627,1.76008e+09,truck0,LV,99.9005,0.761459,1.76255
120.707,1.76008e+09,truck0,LV,99.9004,0.766355,1.76552
120.887,1.76008e+09,truck0,LV,99.9003,0.771259,1.77001
120.967,1.76008e+09,truck0,LV,99.9003,0.776175,1.7736
121.047,1.76008e+09,truck0,LV,99.9002,0.781102,1.77718
121.127,1.76008e+09,truck0,LV,99.9001,0.786039,1.78078
121.207,1.76008e+09,truck0,LV,99.9,0.790985,1.78455
121.307,1.76008e+09,truck0,LV,99.9,0.795942,1.78815
121.467,1.76008e+09,truck0,LV,99.8999,0.800909,1.79205
121.547,1.76008e+09,truck0,LV,99.8998,0.805887,1.80418
121.627,1.76008e+09,truck0,LV,99.8994,0.810899,1.81264
121.707,1.76008e+09,truck0,LV,99.8994,0.815934,1.80145
121.807,1.76008e+09,truck0,LV,99.8996,0.820938,1.80576
121.967,1.76008e+09,truck0,LV,99.8995,0.825954,1.81002
122.047,1.76008e+09,truck0,LV,99.8995,0.830982,1.81453
122.127,1.76008e+09,truck0,LV,99.8995,0.836022,1.81456
122.207,1.76008e+09,truck0,LV,99.8995,0.841063,1.82216
122.367,1.76008e+09,truck0,LV,99.8994,0.846124,1.82642
122.467,1.76008e+09,truck0,LV,99.8994,0.851198,1.83071
122.547,1.76008e+09,truck0,LV,99.8994,0.856283,1.83537
122.647,1.76008e+09,truck0,LV,99.8993,0.861381,1.83919
122.727,1.76008e+09,truck0,LV,99.8993,0.86649,1.84249
